,names,nicknames,articles
0,Stadnichuk V.I.,StadnichukVI,"2022 Inhibitor of Hyaluronic Acid Synthesis 4-Methylumbelliferone Suppresses the Secretory Processes That Ensure the Invasion of Neutrophils into Tissues and Induce Inflammation Galkina Svetlana I. BIOMEDICINES 
2022 Ivermectin Affects Neutrophil-Induced Inflammation through Inhibition of Hydroxylysine but Stimulation of Cathepsin G and Phenylalanine Secretion Galkina Svetlana I. BIOMEDICINES 
"
1,Абрамчук Сергей Савельевич,AbramchukSS,"2022 Antiviral adsorption activity of porous silicon nanoparticles against different pathogenic human viruses Osminkina Liubov A. Bioactive Materials 
2022 Decellularization of the human donor aortic conduit by a new hybrid  treatment in a multicomponent system with supercritical CO2 and  Tween 80 Chaschin Ivan S. Journal of Supercritical Fluids 
2022 Preparation of Biocidal Nanocomposites in X-ray Irradiated Interpolyelectolyte Complexes of Polyacrylic Acid and Polyethylenimine with Ag-Ions Mkrtchyan Kristina V. Polymers 
2022 Superradiation and Synthesis of Metal Nanoparticles in a Polystyrene Composite with Eu Multi-spin Complexes under Rapid Uniaxial Compression Aleksandrov A.I. Technical Physics 
2022 Synthesis of antibacterial polymer metal hybrids in irradiated poly-1-vinyl-1,2,4-triazole complexes with silver ions: pH tuning of nanoparticle sizes Zezin Alexey Applied Organometallic Chemistry 
2022 The smectogenity as a crucial factor of broadening of the selective light reflection peak in cholesteric photopolymerizable mixtures Muraveva V. Liquid Crystals 
2022 Water Saturated with Pressurized CO2 as a Tool to Create Various 3D Morphologies of Composites Based on Chitosan and Copper Nanoparticles Stamer Katerina S. Molecules 
"
2,Авакянц Лев Павлович,avakyantslev,"2023 Determination of 2DEG parameters in LED heterostructures with three InxGa1 – xN/GaN quantum wells by the THz-TDs method Burmistrov E.R. Physics of the Solid State 
2023 Определение параметров 2ДЭГ в светодиодных гетероструктурах с тремя квантовыми ямами InxGa1−xN/GaN методом терагерцевой спектроскопии с временным разрешением (THz-TDs) Бурмистров Е.Р. Физика твердого тела 
2023 Терагерцевая спектроскопия с временным разрешением (THZ–TDs) светодиодных гетероструктур с тремя и пятью квантовыми ямами InGaN/GaN Бурмистров Е.Р. Журнал экспериментальной и теоретической физики 
2022 Study of the Parameters of a Two-Dimensional Electron Gas in InGaN/GaN Quantum Wells by Terahertz Plasmon Resonance Burmistrov E.R. Semiconductors 
2022 Studying the Nonequilibrium Auger Transition Using the Emission Auger Spectroscopy Data Burmistrov E.R. Inorganic Materials: Applied Research 
2022 Эмиссионные Оже-спектры, характеризующие механизм неравновесного Оже-перехода в пленках оксида серебра Ag2О Бурмистров Е.Р. Материаловедение 
"
3,Авдеев Михаил Васильевич,avd,"2022 Electric field-induced assembly of magnetic nanoparticles from dielectric ferrofluids on planar interface Karpets Maksym Journal of Molecular Liquids 
2022 Ferrofluids and bio-ferrofluids: looking back and stepping forward Socoliuc V. Nanoscale 
"
4,Авдюхина Валентина Михайловна,Avdyukhina,"2023 Estimation of doses absorbed by potato tubers under electron beam or X-ray irradiation using an optical fingerprinting strategy Shik Anna V. Food Chemistry 
2022 Determination of Chemical and Microbiological Characteristics of Meat Products Treated by Radiation Bliznyuk U.A. Inorganic Materials 
2022 Effect of electron and X-ray irradiation on microbiological and chemical parameters of chilled turkey Bliznyuk Ulyana Scientific reports 
"
5,Агафонов Александр Александрович,AgafonovAlexander,"2022 Peculiarities of Lamb Wave Propagation in an ABS Wedge with a Parabolic Profile Agafonov A.A. Acoustical Physics 
2022 Особенности распространения волн Лэмба в клине из АБС-пластика с параболическим профилем. Акустический журнал. 2022, том 68, № 5, с. 467-474 Агафонов А.А. Акустический журнал 
"
6,Адельянов Артем Маратович,tims,"2022 Магнитные поликомплексы, модифицированные спермином Григорян И.В. XIV Всероссийская школа-конференция молодых учёных с международным участием ""КоМУ-2022"" 
2022 Поликомплексы со спермином Григорян И.В. XXII Ежегодная молодежная конференция c международным участием ИБХФ РАН-ВУЗы ""БИОХИМИЧЕСКАЯ ФИЗИКА"" 
"
7,Акимов Михаил Львович,ml.akimov,"2022 Electrostatic fields of polarization charges in a dielectric with nonlinear susceptibility Akimov M.L. Bulletin of the Russian Academy of Sciences: Physics 
2022 Электростатические поля поляризационных зарядов в диэлектрике с нелинейной восприимчивостью. Акимов М.Л. Известия Российской академии наук. Серия физическая 
"
8,Акимова Ольга Владимировна,Akimova,"2022 Deformation Behavior of Hydrogenated Palladium-Based Membrane Alloy Akimovaa O.V. IZVESTIYA AKADEMII NAUK SSSR SERIYA FIZICHESKAYA 
2022 Effect of Doping Elements on Magnetic Properties of Palladium-Based Membrane Alloys Akimova O.V. Moscow University Physics Bulletin 
2022 Effect of Pb Small Additives on the Phase Composition and Microstructure Pd-based Membrane Alloys Akimova Olga V. Key Engineering Materials 
2022 The Structure Stability of Metal Diffusion Membrane-Filters in the Processes of Hydrogen Absorption/Desorption Akimova Olga V. Membranes 
2022 Влияние элементов легирования палладия на магнитные свойства мембранных  сплавов Акимова О.В. Вестник Московского университета. Серия 3: Физика, астрономия 
2022 ДЕФОРМАЦИОННОЕ ПОВЕДЕНИЕ ГИДРИРОВАННОГО МЕМБРАННОГО СПЛАВА НА ОСНОВЕ ПАЛЛАДИЯ Акимова О.В. Известия Российской академии наук. Серия физическая 
"
9,Аксенов Владимир Николаевич,v_l_aks,"2022 Особенности группирования кольцевых электронных потоков в мощных клистронах Родякин Известия Российской академии наук. Серия физическая 
"
10,Алексеев Станислав Олегович,salexeyev,"2022 Black Hole Shadows Constrain Extended Gravity 2: Sgr A* Prokopov V.A. Journal of Experimental and Theoretical Physics 
2022 Black hole shadows constrain extended gravity Prokopov V.A. Journal of Experimental and Theoretical Physics 
2022 Extended Gravity Constraints at Different Scales Alexeyev Stanislav Universe 
2022 Тени черных дыр как источник ограничений на расширенные теории гравитации Прокопов В.А. Журнал экспериментальной и теоретической физики 
2022 Тени черных дыр как источник ограничений на расширенные теории гравитации 2: Sgr A* Прокопов В.А. Журнал экспериментальной и теоретической физики 
"
